Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
6QrrOaddvUwoldx8tOcihb,0.00465,0.678,315894,0.912,0.0365,7,0.0903,-5.776,0,0.0503,121.505,4,0.481,3
6uula39yOCEoD7UmPX6qxn,0.003,0.431,344133,0.825,0.0109,2,0.219,-5.486,0,0.0322,140.041,4,0.318,3
7frG49GBDHPPvxXRVLRwle,0.318,0.771,219720,0.636,6.00E-05,2,0.0647,-5.131,1,0.229,79.832,4,0.451,6
2X15m3yLLHmy5B4IdXGckS,0.377,0.646,258667,0.373,0.00302,11,0.114,-9.182,0,0.031,121.009,4,0.0525,5
5RstG9WNSOaQ2G3ZFimUz1,0.923,0.26,111880,0.29,0.219,7,0.112,-11.413,1,0.0528,181.273,4,0.0383,5
2dhGuccdyNF4Hk6moySwDU,0.0612,0.319,201667,0.857,1.91E-06,7,0.473,-3.552,1,0.0972,163.978,4,0.385,5
0gU6zGQCPjzXjKLtjovbTf,0.000876,0.223,242987,0.95,0.421,2,0.202,-7.88,1,0.046,141.964,4,0.384,5
3GThFEm5tiqSFEIActp2pS,0.548,0.516,368653,0.455,0.0112,11,0.0794,-9.607,0,0.0255,109.046,4,0.577,4
6Wo8blkPPnkSxDH23wSYvF,0.593,0.619,255800,0.418,0.000221,9,0.11,-9.127,1,0.0305,111.057,4,0.417,5
0QzW9IXh9nGx7hOE4VSlHL,0.805,0.412,187800,0.36,0.00674,11,0.107,-11.543,1,0.0334,149.743,3,0.262,2
55UZjOb4sWb287xWuuz7gb,0.129,0.667,135787,0.702,0,7,0.129,-4.935,0,0.339,79.822,4,0.407,5
2jF97mxKi6LqB000zzcAT7,0.269,0.59,648242,0.626,0.0372,0,0.0615,-7.682,0,0.0314,124.957,4,0.282,3
5tofCbuikQtECtodHQKAjc,0.0125,0.308,276028,0.286,0.353,4,0.285,-10.788,0,0.03,85.468,4,0.0354,4
0PZJ3pXwgg5ortToqBbjXd,0.72,0.367,196520,0.409,2.87E-06,0,0.11,-8.906,1,0.0381,179.567,3,0.397,4
1TGcnUxYcBZAcXBKtwwTZP,0.0513,0.717,180920,0.708,0,8,0.0929,-4.575,1,0.0369,119.138,4,0.758,5
69InBLmrz7Cu0jBJk1dAgw,0.000278,0.486,209120,0.893,0.00256,4,0.314,-6.656,1,0.0736,152.038,4,0.486,6
4zjknmaZLbxbDLZvgNdqzU,0.000102,0.457,240827,0.993,0.115,0,0.324,-2.844,0,0.186,120.083,4,0.0831,4
3jUMF7U8BUj0EC4ImQVzTZ,0.000375,0.475,250330,0.892,0.000629,4,0.353,-5.468,0,0.0422,88.961,4,0.102,5
6sScx7A12QirSJmHtb7pNJ,0.576,0.513,232467,0.565,2.90E-05,5,0.134,-8.834,1,0.0351,89.96,4,0.597,6
5YdTiKZQc2rmUD81RUiVGI,0.0191,0.343,201000,0.835,0.694,5,0.19,-4.825,0,0.0572,134.558,4,0.334,4
01dFhwiRjIRyRAPXsVVdGu,0.803,0.746,246160,0.524,0,5,0.0599,-9.139,1,0.0579,135.088,4,0.752,2
5hnbE5BF2e8BCk9OMR1UVC,0.125,0.58,224225,0.858,0,8,0.0502,-5.212,1,0.114,174.039,3,0.475,8
44VUR8S9PdMrTVTDDwvmo0,0.894,0.183,275215,0.155,0.819,1,0.117,-24.311,1,0.0388,95.79,4,0.0692,4
39vFgR783cwJxM6kCOhHYq,0.816,0.436,202579,0.4,0.000403,7,0.321,-12.155,0,0.0283,83.811,4,0.137,4
0M6MQbtwPTUo2jkU9Ho3pe,0.356,0.726,191893,0.685,0,11,0.166,-5.018,0,0.0516,122.003,4,0.676,4
3r09kH9yi5QH0mojM8b9zx,0.0378,0.317,196846,0.977,0.0278,4,0.259,-3.162,1,0.295,130.037,4,0.352,5
46NVP92fQfCe8yWB0P5EGP,0.000572,0.321,229649,0.812,0,11,0.107,-4.851,0,0.0558,170.043,4,0.303,5
7bn4QtVzHCzjSxxAWdPMuD,0.0113,0.876,154485,0.587,0.000307,6,0.119,-10.281,0,0.193,82.511,4,0.528,5
2puDdJCPANs1B1V4gUtpdQ,0.000352,0.505,205173,0.963,2.14E-06,1,0.364,-5.767,1,0.124,146.008,4,0.304,2
6UFivO2zqqPFPoQYsEMuCc,0.172,0.742,260520,0.546,0.38,1,0.115,-7.694,1,0.0315,104.996,4,0.868,7
4HAsvpnppM4YIOAHpjANBM,0.0652,0.491,261600,0.873,0,10,0.136,-5.796,0,0.0705,105.034,4,0.135,5
1N0rCD5uwvLLnmQfIUywnt,0.00019,0.276,241045,0.981,0.00074,1,0.0718,-2.861,1,0.122,148.033,4,0.316,1
6io5TsuVMKveBZeeHkw25U,0.655,0.344,156467,0.351,1.39E-05,5,0.272,-9.647,1,0.0323,129.32,4,0.181,2
1YU0fHUCpUyxkWqxx9ivHK,0.00825,0.917,124803,0.897,0,10,0.239,-2.297,0,0.119,92.975,4,0.31,6
4NiO37EgotEOia7qEXsVfS,2.62E-05,0.493,170875,0.946,1.27E-05,10,0.163,-6.507,0,0.0839,106.489,4,0.425,4
7bDztTav6TQByZmDJmUT5Y,0.0414,0.55,214446,0.779,0.000213,0,0.364,-4.151,1,0.036,100.31,4,0.548,7
4q9vIHlDyzwNtbKqgCHVIB,0.456,0.61,190480,0.484,0,6,0.0715,-6.254,0,0.0252,100.005,4,0.447,6
1D0suElatoKurOqJBol7JV,0.0178,0.551,172627,0.755,0,11,0.466,-6.255,1,0.0678,109.835,4,0.296,6
5jmYu7XY4zd3mJfizA8t1K,0.000355,0.478,214227,0.574,7.15E-06,3,0.151,-5.645,0,0.0288,129.02,4,0.0407,6
6suiQUYsMJRuRdlGgFTfsn,0.139,0.476,159382,0.69,0,1,0.741,-5.9,0,0.454,94.8,3,0.467,3
16ox7ZM0ozbzBOTjFecYuY,0.41,0.454,195052,0.379,2.53E-06,5,0.0837,-8.199,1,0.132,169.055,3,0.275,7
6YzImPeZOkzm7PuXk4RYvj,0.134,0.644,264984,0.559,0.053,11,0.114,-9.139,0,0.123,147.704,4,0.651,4
6FoKdr1i7dna1qWh1LzsiP,0.282,0.477,189543,0.637,0.00051,1,0.694,-6.604,0,0.057,102.299,4,0.61,2
5x5TmxjilpvdOkdM2JgTeI,0.177,0.647,214987,0.549,0,1,0.0917,-6.499,1,0.0302,89.964,4,0.495,5
0ODX5aqq2yfXPhFuoqimWZ,0.0132,0.549,191133,0.891,0,0,0.11,-4.632,1,0.0383,163.969,4,0.809,5
0ZapiCpfSBvSC27L479qiG,0.0165,0.345,426987,0.724,0.0134,9,0.0943,-10.38,1,0.0756,145.081,4,0.0502,2
7EWJYLPS8sWKKpKx1Yht34,0.551,0.701,241161,0.433,0.00949,8,0.0596,-8.19,1,0.104,90.035,4,0.422,4
295SxdR1DqunCNwd0U767w,0.23,0.798,254218,0.564,1.83E-05,2,0.183,-5.98,1,0.047,108.004,4,0.394,7
4fL0e2eLKRiigNlF1gvCo5,0.000228,0.452,254907,0.826,0.0217,8,0.0827,-3.968,1,0.031,115.046,4,0.354,5
2I6PkrlEUVDMVCGrt6bmFR,0.0108,0.713,270800,0.674,2.32E-05,0,0.15,-8.349,0,0.165,116.967,4,0.34,4
3KX8EDznyPViduMzpHrKtp,0.000368,0.373,212624,0.948,0.145,2,0.116,-3.196,1,0.24,174,4,0.0767,3
5ea1fDPdhzQfQkRn7uowj3,0.425,0.192,330720,0.267,0.0347,2,0.0883,-9.845,0,0.0337,176.435,4,0.212,2
